Series,Category_Key,Best_Model,CV_RMSE,CV_MAPE,Date,Forecast
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-06,2769123.12
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-07,2272784.6
B_B_R,B_B_R,"ETS(A,Md,A)",393027.93,16.99,2017-08,2564497.85
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2016-09,1375634.73
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2016-10,1039328.96
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2016-11,1107148.77
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2016-12,1243943.58
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-01,1170007.58
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-02,1275677.89
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-03,1456046.23
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-04,1002667.38
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-05,897188.25
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-06,1106332.85
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-07,956175.82
A_I_G,A_I_G,Nixtla_OptTheta,92352.76,5.89,2017-08,1000998.45
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2016-09,780733.24
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2016-10,545878.52
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2016-11,828937.63
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2016-12,1971443.31
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-01,698262.25
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-02,712841.45
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-03,801571.34
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-04,569830.64
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-05,615933.66
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-06,768079.6
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-07,627044.91
A_J_A1,A_J_A1,"ETS(M,Md,M)",82976.66,5.95,2017-08,697675.18
C_B_R,C_B_R,Nixtla_OptTheta,166446.91,7.7,2016-09,1595586.9
C_B_R,C_B_R,Nixtla_OptTheta,166446.91,7.7,2016-10,1199405.25
C_B_R,C_B_R,Nixtla_OptTheta,166446.91,7.7,2016-11,1398675.05
C_B_R,C_B_R,Nixtla_OptTheta,166446.91,7.7,2016-12,2788804.72
C_B_R,C_B_R,Nixtla_OptTheta,166446.91,7.7,2017-01,1501932.92
C_B_R,C_B_R,Nixtla_OptTheta,166446.91,7.7,2017-02,1433013.09
